horizon_min,model,theta,slippage,convention,mean,lo,hi,mean_eqday,n_days,n_trades
5,ridge,1.0,0.0,entry_cost_markout,-0.005816508911364453,-0.006323179392866905,-0.005355255039802406,-0.0057561055411686725,54,464798
5,ridge,1.0,0.0,roundtrip_touch_net,-0.012560890656734216,-0.013290660835485687,-0.011893944180592711,-0.012421182746525884,54,464798
5,lgbm,1.0,0.0,entry_cost_markout,-0.005031198280755702,-0.005694463105939119,-0.004467543196763575,-0.005119698911338384,54,310099
5,lgbm,1.0,0.0,roundtrip_touch_net,-0.011466917464009477,-0.012239618040215311,-0.010807413607944521,-0.011416299511174621,54,310099
5,tcn,1.0,0.0,entry_cost_markout,-0.005549000404071172,-0.006263997088143465,-0.004913547621773506,-0.005411082974116998,54,341640
5,tcn,1.0,0.0,roundtrip_touch_net,-0.012301165883678727,-0.013348205552454985,-0.011356030331870524,-0.011981759707476268,54,341640
15,ridge,1.0,0.0,entry_cost_markout,-0.003010867348194098,-0.003950723293714422,-0.0020938966177397123,-0.002921511955883412,54,509946
15,ridge,1.0,0.0,roundtrip_touch_net,-0.009795194996749655,-0.010830702160523155,-0.008812808516565308,-0.009643456860245014,54,509946
15,lgbm,1.0,0.0,entry_cost_markout,-0.0028210180731901803,-0.0038635574544505034,-0.0018421391405407477,-0.0028365981058574323,54,395509
15,lgbm,1.0,0.0,roundtrip_touch_net,-0.00948104375568097,-0.010655063898855061,-0.008402809976577906,-0.00933936962000229,54,395509
15,tcn,1.0,0.0,entry_cost_markout,-0.002736804772560674,-0.00419447255624103,-0.0013806881531309703,-0.0023077614461707576,54,425799
15,tcn,1.0,0.0,roundtrip_touch_net,-0.009651476088923413,-0.011455106662607639,-0.008046821346665081,-0.00903378110582517,54,425799
30,ridge,1.0,0.0,entry_cost_markout,0.0008716908516167182,-0.0010783376325157838,0.0025532450068104177,0.0011192530548797186,54,530985
30,ridge,1.0,0.0,roundtrip_touch_net,-0.005903461789321968,-0.007972547394036732,-0.004144158356119493,-0.005608229660426472,54,530985
30,lgbm,1.0,0.0,entry_cost_markout,0.0010170567979216393,-0.001061456418653679,0.0030481828359760713,0.000968875688936828,54,454580
30,lgbm,1.0,0.0,roundtrip_touch_net,-0.005778787862903669,-0.007979805238127047,-0.0037233550398971488,-0.005696411022008964,54,454580
30,tcn,1.0,0.0,entry_cost_markout,0.002489691219806935,0.00034880908722456503,0.004737355717063019,0.0029927145604745796,54,457307
30,tcn,1.0,0.0,roundtrip_touch_net,-0.004398984492621341,-0.006678575186961923,-0.002108361143721754,-0.0037779864760425267,54,457307
60,ridge,1.0,0.0,entry_cost_markout,0.008286202184967693,0.004267027716430602,0.01167896955411613,0.008634258160869109,54,517685
60,ridge,1.0,0.0,roundtrip_touch_net,0.0014991314812277253,-0.002605719574563046,0.004869376581790689,0.0018820336835481022,54,517685
60,lgbm,1.0,0.0,entry_cost_markout,0.007274100203286878,0.0028809676259694468,0.011322155344724635,0.007141464271720658,54,460802
60,lgbm,1.0,0.0,roundtrip_touch_net,0.00045368762593320656,-0.003946526365475147,0.0044697486867088755,0.00040404471939910035,54,460802
60,tcn,1.0,0.0,entry_cost_markout,0.009382590996206929,0.0049332242553340264,0.01382810931858352,0.009164533671126403,54,468354
60,tcn,1.0,0.0,roundtrip_touch_net,0.0024666369398868163,-0.002028030710805288,0.006884697645554648,0.0023488723517857985,54,468354
