horizon_min,model,n_trades_overlapping,n_trades_nonoverlap,count_ratio,mean_entry_markout_overlap,mean_entry_markout_nonoverlap,mean_roundtrip_nonoverlap,cum_entry_markout_nonoverlap,max_concurrent,mean_concurrent,max_gross_vega,n_active_cells
5,ridge,464798,122343,0.26321756978300254,-0.005816508550196886,-0.005841271486133337,-0.012517133727669716,-714.638671875,55,32.394346223322955,810.154181599617,2002
5,lgbm,310099,101015,0.32575080861273337,-0.005031198263168335,-0.005405689124017954,-0.011879082769155502,-546.0556640625,55,27.181344354798792,649.5303624868393,2003
5,tcn,341640,107049,0.3133386020372322,-0.005549000576138496,-0.005660305730998516,-0.012338695116341114,-605.9300537109375,57,28.810941718278546,753.427982211113,2002
15,ridge,509946,44080,0.08644052507520404,-0.0030108673963695765,-0.003816174576058984,-0.010416559875011444,-168.21697998046875,57,34.5801497277677,832.555703997612,2000
15,lgbm,395509,41928,0.10601022985570492,-0.002821017988026142,-0.0038633421063423157,-0.010494830086827278,-161.98220825195312,57,32.85537111238313,679.9072023928165,1999
15,tcn,425799,42464,0.09972780584266286,-0.0027368057053536177,-0.003560170531272888,-0.010223225690424442,-151.1790771484375,56,33.37111435568953,705.6097669005394,2001
30,ridge,530985,22297,0.04199177001233557,0.0008716910379007459,3.178846600349061e-05,-0.006551383528858423,0.7087874412536621,56,34.14587164192492,781.1568307876587,1996
30,lgbm,454580,21900,0.04817633859826653,0.0010170567547902465,-0.00041665483149699867,-0.007048389874398708,-9.124740600585938,57,33.353013698630136,662.0340146422386,1995
30,tcn,457307,21921,0.04793497584773467,0.0024896918330341578,0.0011743262875825167,-0.005451055243611336,25.742406845092773,58,33.465193193741165,650.8360752761364,1996
60,ridge,517685,11131,0.0215014922201725,0.00828620232641697,0.0076965270563960075,0.0009797003585845232,85.6700439453125,58,32.82144461414069,806.2508642673492,1992
60,lgbm,460802,11061,0.024003802066831306,0.007274100091308355,0.0035589374601840973,-0.003217573743313551,39.36540603637695,55,31.89933098273212,794.4720060825348,1992
60,tcn,468354,11046,0.02358472437515213,0.009382590651512146,0.0053974031470716,-0.0013412347761914134,59.619712829589844,57,32.39896795219989,655.5958333015442,1992
